date,season_type,neutral,team_1,team_2,points_1,points_2,moneyline_1,moneyline_2,game_url
11 Apr 2025,Regular,0,Tampa Bay Lightning,Detroit Red Wings,3,4,-320.0,250.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/tampa-bay-lightning-detroit-red-wings-zcLJTTlo/
10 Apr 2025,Regular,0,Los Angeles Kings,Anaheim Ducks,6,1,-357.0,276.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-anaheim-ducks-4EUmZkRN/
10 Apr 2025,Regular,0,Vegas Golden Knights,Seattle Kraken,2,1,-265.0,211.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-seattle-kraken-8nyuyCdB/
10 Apr 2025,Regular,0,Colorado Avalanche,Vancouver Canucks,1,4,-221.0,181.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/colorado-avalanche-vancouver-canucks-zedSbl1n/
10 Apr 2025,Regular,0,Utah Mammoth,Nashville Predators,3,4,-189.0,156.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/utah-mammoth-nashville-predators-zZxXxYRb/
10 Apr 2025,Regular,0,Dallas Stars,Winnipeg Jets,0,4,-123.0,102.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-winnipeg-jets-6uMIvoGU/
10 Apr 2025,Regular,0,New York Islanders,New York Rangers,2,9,-117.0,-102.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-york-islanders-new-york-rangers-fPUOvfcn/
10 Apr 2025,Regular,0,Washington Capitals,Carolina Hurricanes,5,4,136.0,-162.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-carolina-hurricanes-ro16MCsI/
10 Apr 2025,Regular,0,Boston Bruins,Chicago Blackhawks,2,5,-176.0,145.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/boston-bruins-chicago-blackhawks-GIscQfrg/
10 Apr 2025,Regular,0,Columbus Blue Jackets,Buffalo Sabres,3,2,-137.0,115.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/columbus-blue-jackets-buffalo-sabres-40kFKjCU/
10 Apr 2025,Regular,0,Florida Panthers,Detroit Red Wings,4,1,-215.0,175.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-detroit-red-wings-zLcbOYC5/
09 Apr 2025,Regular,0,Anaheim Ducks,Calgary Flames,4,3,128.0,-154.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/anaheim-ducks-calgary-flames-pQX9t7oI/
09 Apr 2025,Regular,0,Edmonton Oilers,St. Louis Blues,4,3,-128.0,107.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-st-louis-blues-x0U1rTG5/
09 Apr 2025,Regular,0,Minnesota Wild,San Jose Sharks,8,7,-333.0,260.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/minnesota-wild-san-jose-sharks-r5qkSGDt/
09 Apr 2025,Regular,0,New York Rangers,Philadelphia Flyers,5,8,-191.0,157.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-york-rangers-philadelphia-flyers-4vEv8DSO/
09 Apr 2025,Regular,0,Tampa Bay Lightning,Toronto Maple Leafs,3,4,-187.0,155.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/tampa-bay-lightning-toronto-maple-leafs-tYzgpkng/
08 Apr 2025,Regular,0,Colorado Avalanche,Vegas Golden Knights,3,2,-156.0,130.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/colorado-avalanche-vegas-golden-knights-dEAW9ZcC/
08 Apr 2025,Regular,0,Utah Mammoth,Seattle Kraken,7,1,-224.0,184.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/utah-mammoth-seattle-kraken-zaMNBeTa/
08 Apr 2025,Regular,0,Dallas Stars,Vancouver Canucks,5,6,-200.0,164.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-vancouver-canucks-8KxonBHt/
08 Apr 2025,Regular,0,Nashville Predators,New York Islanders,7,6,-100.0,-120.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/nashville-predators-new-york-islanders-U1JFDHbm/
08 Apr 2025,Regular,0,Buffalo Sabres,Carolina Hurricanes,3,0,198.0,-243.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/buffalo-sabres-carolina-hurricanes-nuLnArhe/
08 Apr 2025,Regular,0,Columbus Blue Jackets,Ottawa Senators,5,2,-104.0,-115.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/columbus-blue-jackets-ottawa-senators-AeHZvfAD/
08 Apr 2025,Regular,0,Florida Panthers,Toronto Maple Leafs,3,1,-168.0,140.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-toronto-maple-leafs-2VDRtGu1/
08 Apr 2025,Regular,0,Montreal Canadiens,Detroit Red Wings,4,1,-141.0,118.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/montreal-canadiens-detroit-red-wings-tGPIrxBl/
08 Apr 2025,Regular,0,New Jersey Devils,Boston Bruins,2,7,-245.0,199.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-jersey-devils-boston-bruins-r7Ee8MM7/
08 Apr 2025,Regular,0,Pittsburgh Penguins,Chicago Blackhawks,5,0,-212.0,173.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/pittsburgh-penguins-chicago-blackhawks-z11sWPEE/
07 Apr 2025,Regular,0,Anaheim Ducks,Edmonton Oilers,3,2,121.0,-143.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/anaheim-ducks-edmonton-oilers-jVIojKIE/
07 Apr 2025,Regular,0,Los Angeles Kings,Seattle Kraken,1,2,-246.0,201.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-seattle-kraken-ED7uC4Nr/
07 Apr 2025,Regular,0,San Jose Sharks,Calgary Flames,2,3,185.0,-225.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/san-jose-sharks-calgary-flames-AXYnlbmR/
07 Apr 2025,Regular,0,Winnipeg Jets,St. Louis Blues,3,1,-194.0,159.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-st-louis-blues-byWaSGQ7/
07 Apr 2025,Regular,0,New York Rangers,Tampa Bay Lightning,1,5,130.0,-155.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-york-rangers-tampa-bay-lightning-UuW8HQaL/
06 Apr 2025,Regular,0,Vancouver Canucks,Vegas Golden Knights,2,3,145.0,-175.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vancouver-canucks-vegas-golden-knights-29xiUxde/
06 Apr 2025,Regular,0,Nashville Predators,Montreal Canadiens,1,2,-110.0,-109.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/nashville-predators-montreal-canadiens-fqZrWbRr/
06 Apr 2025,Regular,0,Buffalo Sabres,Boston Bruins,6,3,-181.0,151.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/buffalo-sabres-boston-bruins-67pEeqw2/
06 Apr 2025,Regular,0,Chicago Blackhawks,Pittsburgh Penguins,3,1,112.0,-133.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/chicago-blackhawks-pittsburgh-penguins-MFS0JnV8/
06 Apr 2025,Regular,0,Detroit Red Wings,Florida Panthers,2,1,-120.0,-100.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/detroit-red-wings-florida-panthers-Ygn6c58k/
06 Apr 2025,Regular,0,Ottawa Senators,Columbus Blue Jackets,4,0,-161.0,132.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-columbus-blue-jackets-ABcCyL3L/
06 Apr 2025,Regular,0,Minnesota Wild,Dallas Stars,3,2,113.0,-137.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/minnesota-wild-dallas-stars-Gx6Z2RpS/
06 Apr 2025,Regular,0,New York Islanders,Washington Capitals,4,1,122.0,-150.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-york-islanders-washington-capitals-8C2R4mGF/
05 Apr 2025,Regular,0,Calgary Flames,Vegas Golden Knights,2,3,126.0,-151.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/calgary-flames-vegas-golden-knights-4Ef4wsZ8/
05 Apr 2025,Regular,0,San Jose Sharks,Seattle Kraken,1,5,140.0,-167.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/san-jose-sharks-seattle-kraken-ncEI69o3/
05 Apr 2025,Regular,0,Boston Bruins,Carolina Hurricanes,5,1,201.0,-250.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/boston-bruins-carolina-hurricanes-4IKajl1M/
05 Apr 2025,Regular,0,Buffalo Sabres,Tampa Bay Lightning,3,2,174.0,-215.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/buffalo-sabres-tampa-bay-lightning-0l6VpSOq/
05 Apr 2025,Regular,0,Montreal Canadiens,Philadelphia Flyers,3,2,-179.0,147.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/montreal-canadiens-philadelphia-flyers-GhE9HaCk/
05 Apr 2025,Regular,0,St. Louis Blues,Colorado Avalanche,5,4,117.0,-140.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/st-louis-blues-colorado-avalanche-KjMWr6gd/
05 Apr 2025,Regular,0,Toronto Maple Leafs,Columbus Blue Jackets,5,0,-187.0,151.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-columbus-blue-jackets-d8XxNLlS/
05 Apr 2025,Regular,0,Utah Mammoth,Winnipeg Jets,4,1,-101.0,-120.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/utah-mammoth-winnipeg-jets-l6CHFws2/
05 Apr 2025,Regular,0,Los Angeles Kings,Edmonton Oilers,3,0,-202.0,166.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-edmonton-oilers-OtKVOsKF/
05 Apr 2025,Regular,0,Vancouver Canucks,Anaheim Ducks,6,2,-175.0,144.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vancouver-canucks-anaheim-ducks-2RVMQ3k3/
05 Apr 2025,Regular,0,Dallas Stars,Pittsburgh Penguins,3,5,-276.0,219.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-pittsburgh-penguins-8jRjhAW9/
05 Apr 2025,Regular,0,Ottawa Senators,Florida Panthers,3,0,122.0,-147.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-florida-panthers-zLwy30cd/
05 Apr 2025,Regular,0,New Jersey Devils,New York Rangers,4,0,-131.0,110.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-jersey-devils-new-york-rangers-0QNrfW1c/
04 Apr 2025,Regular,0,New York Islanders,Minnesota Wild,3,1,-125.0,104.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-york-islanders-minnesota-wild-KUpdWS9j/
04 Apr 2025,Regular,0,Detroit Red Wings,Carolina Hurricanes,5,3,147.0,-178.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/detroit-red-wings-carolina-hurricanes-8xnIwBHG/
04 Apr 2025,Regular,0,Washington Capitals,Chicago Blackhawks,5,3,-397.0,309.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-chicago-blackhawks-44uRyknT/
03 Apr 2025,Regular,0,San Jose Sharks,Edmonton Oilers,2,3,226.0,-283.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/san-jose-sharks-edmonton-oilers-vgpS4MSq/
03 Apr 2025,Regular,0,Vegas Golden Knights,Winnipeg Jets,0,4,-164.0,138.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-winnipeg-jets-rNbdAr5M/
03 Apr 2025,Regular,0,Calgary Flames,Anaheim Ducks,4,1,-164.0,138.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/calgary-flames-anaheim-ducks-lO5mC4zA/
03 Apr 2025,Regular,0,Utah Mammoth,Los Angeles Kings,2,4,117.0,-140.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/utah-mammoth-los-angeles-kings-zPmAuXn4/
03 Apr 2025,Regular,0,Dallas Stars,Nashville Predators,5,1,-303.0,237.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-nashville-predators-vcf1sgIi/
03 Apr 2025,Regular,0,St. Louis Blues,Pittsburgh Penguins,5,4,-239.0,196.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/st-louis-blues-pittsburgh-penguins-YsM5YTbt/
03 Apr 2025,Regular,0,Columbus Blue Jackets,Colorado Avalanche,3,7,119.0,-142.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/columbus-blue-jackets-colorado-avalanche-dpieEQDO/
03 Apr 2025,Regular,0,Montreal Canadiens,Boston Bruins,4,1,-216.0,177.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/montreal-canadiens-boston-bruins-EBfsxbtC/
03 Apr 2025,Regular,0,Ottawa Senators,Tampa Bay Lightning,2,1,121.0,-145.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-tampa-bay-lightning-Ya7FJkQp/
02 Apr 2025,Regular,0,Vancouver Canucks,Seattle Kraken,0,5,-148.0,124.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vancouver-canucks-seattle-kraken-6oiZwKBa/
02 Apr 2025,Regular,0,Chicago Blackhawks,Colorado Avalanche,2,3,328.0,-435.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/chicago-blackhawks-colorado-avalanche-lKmmGnqC/
02 Apr 2025,Regular,0,Toronto Maple Leafs,Florida Panthers,3,2,-127.0,106.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-florida-panthers-AJcQutsm/
02 Apr 2025,Regular,0,Carolina Hurricanes,Washington Capitals,5,1,-220.0,180.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-washington-capitals-S4avI8Ea/
02 Apr 2025,Regular,0,New York Rangers,Minnesota Wild,5,4,-164.0,138.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-york-rangers-minnesota-wild-KvdWJUqm/
01 Apr 2025,Regular,0,Los Angeles Kings,Winnipeg Jets,4,1,-123.0,102.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-winnipeg-jets-EmCfo2JP/
01 Apr 2025,Regular,0,Anaheim Ducks,San Jose Sharks,4,3,-183.0,151.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/anaheim-ducks-san-jose-sharks-xKh7PjMP/
01 Apr 2025,Regular,0,Vegas Golden Knights,Edmonton Oilers,2,3,-166.0,140.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-edmonton-oilers-burAwj0J/
01 Apr 2025,Regular,0,Utah Mammoth,Calgary Flames,3,1,-180.0,149.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/utah-mammoth-calgary-flames-jFv2uCV6/
01 Apr 2025,Regular,0,St. Louis Blues,Detroit Red Wings,2,1,-185.0,152.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/st-louis-blues-detroit-red-wings-pQ5L1mUI/
01 Apr 2025,Regular,0,New York Islanders,Tampa Bay Lightning,1,4,142.0,-169.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-york-islanders-tampa-bay-lightning-lbCC39a6/
01 Apr 2025,Regular,0,Boston Bruins,Washington Capitals,3,4,187.0,-229.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/boston-bruins-washington-capitals-KIKe7i0s/
01 Apr 2025,Regular,0,Columbus Blue Jackets,Nashville Predators,8,4,-198.0,163.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/columbus-blue-jackets-nashville-predators-tY845VUg/
01 Apr 2025,Regular,0,Montreal Canadiens,Florida Panthers,3,2,136.0,-163.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/montreal-canadiens-florida-panthers-MZnoqfWs/
01 Apr 2025,Regular,0,Ottawa Senators,Buffalo Sabres,2,5,-198.0,162.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-buffalo-sabres-UajgsY0f/
31 Mar 2025,Regular,0,Seattle Kraken,Dallas Stars,1,3,145.0,-175.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/seattle-kraken-dallas-stars-4hFQCDxK/
31 Mar 2025,Regular,0,Colorado Avalanche,Calgary Flames,2,3,-278.0,220.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/colorado-avalanche-calgary-flames-h4UMlG8K/
31 Mar 2025,Regular,0,New Jersey Devils,Minnesota Wild,3,2,-148.0,124.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-jersey-devils-minnesota-wild-E3nY6Nl1/
31 Mar 2025,Regular,0,Philadelphia Flyers,Nashville Predators,2,1,-135.0,113.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/philadelphia-flyers-nashville-predators-nHpt51JD/
30 Mar 2025,Regular,0,Los Angeles Kings,San Jose Sharks,8,1,-385.0,296.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-san-jose-sharks-IygP8qKl/
30 Mar 2025,Regular,0,Anaheim Ducks,Toronto Maple Leafs,2,3,140.0,-172.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/anaheim-ducks-toronto-maple-leafs-0AsyRCGD/
30 Mar 2025,Regular,0,Carolina Hurricanes,New York Islanders,6,4,-345.0,272.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-new-york-islanders-YoWiRizG/
30 Mar 2025,Regular,0,Pittsburgh Penguins,Ottawa Senators,1,0,124.0,-150.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/pittsburgh-penguins-ottawa-senators-4rlSSYo1/
30 Mar 2025,Regular,0,Chicago Blackhawks,Utah Mammoth,2,5,179.0,-217.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/chicago-blackhawks-utah-mammoth-CWsqTD53/
30 Mar 2025,Regular,0,Washington Capitals,Buffalo Sabres,5,8,-325.0,254.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-buffalo-sabres-pQkc5ADd/
30 Mar 2025,Regular,0,Winnipeg Jets,Vancouver Canucks,3,1,-234.0,190.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-vancouver-canucks-dIpKUfHl/
30 Mar 2025,Regular,0,Florida Panthers,Montreal Canadiens,2,4,-305.0,238.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-montreal-canadiens-Cp9mzHgR/
29 Mar 2025,Regular,0,San Jose Sharks,New York Rangers,1,6,134.0,-162.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/san-jose-sharks-new-york-rangers-hSAIChLM/
29 Mar 2025,Regular,0,Seattle Kraken,Dallas Stars,1,5,129.0,-154.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/seattle-kraken-dallas-stars-lbdl7Wrp/
29 Mar 2025,Regular,0,Edmonton Oilers,Calgary Flames,3,2,-179.0,148.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-calgary-flames-6m6uxwPE/
29 Mar 2025,Regular,0,Detroit Red Wings,Boston Bruins,2,1,-204.0,167.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/detroit-red-wings-boston-bruins-bTH9EEjA/
29 Mar 2025,Regular,0,Los Angeles Kings,Toronto Maple Leafs,1,3,-148.0,123.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-toronto-maple-leafs-juOhEZW7/
29 Mar 2025,Regular,0,Ottawa Senators,Columbus Blue Jackets,3,2,-202.0,166.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-columbus-blue-jackets-IRPpGe2e/
29 Mar 2025,Regular,0,Nashville Predators,Vegas Golden Knights,1,3,136.0,-167.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/nashville-predators-vegas-golden-knights-j3E1GzMc/
29 Mar 2025,Regular,0,Minnesota Wild,New Jersey Devils,2,5,-123.0,102.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/minnesota-wild-new-jersey-devils-A7yFhXTj/
29 Mar 2025,Regular,0,Colorado Avalanche,St. Louis Blues,1,2,-196.0,158.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/colorado-avalanche-st-louis-blues-vPpqbg6T/
29 Mar 2025,Regular,0,Tampa Bay Lightning,New York Islanders,5,3,-241.0,196.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/tampa-bay-lightning-new-york-islanders-YBFr0FyH/
29 Mar 2025,Regular,0,Philadelphia Flyers,Buffalo Sabres,7,4,-119.0,-102.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/philadelphia-flyers-buffalo-sabres-0bHz2y74/
28 Mar 2025,Regular,0,Anaheim Ducks,New York Rangers,5,4,137.0,-163.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/anaheim-ducks-new-york-rangers-4WNR3cxh/
28 Mar 2025,Regular,0,Chicago Blackhawks,Vegas Golden Knights,3,5,268.0,-342.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/chicago-blackhawks-vegas-golden-knights-xQVutfpo/
28 Mar 2025,Regular,0,Winnipeg Jets,New Jersey Devils,4,0,-209.0,172.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-new-jersey-devils-MaWyIHXr/
28 Mar 2025,Regular,0,Carolina Hurricanes,Montreal Canadiens,4,1,-360.0,278.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-montreal-canadiens-jBdcPau9/
28 Mar 2025,Regular,0,Columbus Blue Jackets,Vancouver Canucks,7,6,-141.0,119.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/columbus-blue-jackets-vancouver-canucks-CQp6NwAL/
28 Mar 2025,Regular,0,Florida Panthers,Utah Mammoth,2,1,-254.0,206.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-utah-mammoth-hhf9oGMN/
27 Mar 2025,Regular,0,San Jose Sharks,Toronto Maple Leafs,6,5,203.0,-249.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/san-jose-sharks-toronto-maple-leafs-O44B1dm2/
27 Mar 2025,Regular,0,Colorado Avalanche,Los Angeles Kings,4,0,-164.0,138.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/colorado-avalanche-los-angeles-kings-nei1mxhB/
27 Mar 2025,Regular,0,Seattle Kraken,Edmonton Oilers,6,1,101.0,-121.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/seattle-kraken-edmonton-oilers-SxB23IIk/
27 Mar 2025,Regular,0,Calgary Flames,Dallas Stars,2,5,109.0,-130.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/calgary-flames-dallas-stars-djlVLQYG/
27 Mar 2025,Regular,0,Nashville Predators,St. Louis Blues,2,3,115.0,-139.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/nashville-predators-st-louis-blues-IFapiKhn/
27 Mar 2025,Regular,0,Minnesota Wild,Washington Capitals,4,2,118.0,-144.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/minnesota-wild-washington-capitals-jTchkbNb/
27 Mar 2025,Regular,0,Buffalo Sabres,Pittsburgh Penguins,7,3,-138.0,115.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/buffalo-sabres-pittsburgh-penguins-hYVRYxwI/
27 Mar 2025,Regular,0,Detroit Red Wings,Ottawa Senators,3,4,116.0,-138.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/detroit-red-wings-ottawa-senators-8GxFP8Zi/
27 Mar 2025,Regular,0,Philadelphia Flyers,Montreal Canadiens,6,4,108.0,-129.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/philadelphia-flyers-montreal-canadiens-GttNNn44/
27 Mar 2025,Regular,0,Tampa Bay Lightning,Utah Mammoth,8,0,-199.0,163.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/tampa-bay-lightning-utah-mammoth-vkUZWG7U/
26 Mar 2025,Regular,0,Anaheim Ducks,Boston Bruins,6,2,-145.0,120.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/anaheim-ducks-boston-bruins-WIsJza85/
26 Mar 2025,Regular,0,Edmonton Oilers,Dallas Stars,3,4,115.0,-137.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-dallas-stars-SKaS15so/
26 Mar 2025,Regular,0,Chicago Blackhawks,New Jersey Devils,3,5,187.0,-229.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/chicago-blackhawks-new-jersey-devils-OhvBxLwg/
26 Mar 2025,Regular,0,New York Islanders,Vancouver Canucks,2,5,-116.0,-103.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-york-islanders-vancouver-canucks-dx9d7RJN/
25 Mar 2025,Regular,0,Los Angeles Kings,New York Rangers,3,1,-185.0,153.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-new-york-rangers-SQp2vs9t/
25 Mar 2025,Regular,0,Calgary Flames,Seattle Kraken,4,3,-140.0,118.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/calgary-flames-seattle-kraken-xzge9mkB/
25 Mar 2025,Regular,0,Colorado Avalanche,Detroit Red Wings,5,2,-335.0,265.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/colorado-avalanche-detroit-red-wings-xbZjXP1D/
25 Mar 2025,Regular,0,Minnesota Wild,Vegas Golden Knights,1,5,182.0,-222.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/minnesota-wild-vegas-golden-knights-dlRrZoX0/
25 Mar 2025,Regular,0,St. Louis Blues,Montreal Canadiens,6,1,-152.0,126.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/st-louis-blues-montreal-canadiens-8f1vDVkn/
25 Mar 2025,Regular,0,Winnipeg Jets,Washington Capitals,3,2,-152.0,127.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-washington-capitals-4MfmB9Kb/
25 Mar 2025,Regular,0,Buffalo Sabres,Ottawa Senators,3,2,139.0,-165.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/buffalo-sabres-ottawa-senators-dGXLflzI/
25 Mar 2025,Regular,0,Carolina Hurricanes,Nashville Predators,1,3,-281.0,221.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-nashville-predators-lONzy82l/
